user_id,visit_time,channel,age,income,gender
4681,2018-01-06 15:00:00,Facebook,45.0,44000.0,female
9052,2018-08-23 12:00:00,Facebook,,35000.0,female
9579,2018-07-28 12:00:00,Facebook,41.0,42000.0,male
2601,2018-12-17 00:00:00,PPC,35.0,34000.0,male
7136,2018-09-27 21:00:00,PPC,,32000.0,male
1137,2018-08-10 17:00:00,PPC,28.0,28000.0,male
4490,2018-05-24 14:00:00,TV,21.0,21000.0,male
926,2018-10-13 15:00:00,Email,29.0,30000.0,female
4476,2018-10-11 13:00:00,Facebook,30.0,32000.0,male
928,2019-02-02 09:00:00,PPC,39.0,39000.0,male
5100,2018-07-02 15:00:00,TV,30.0,29000.0,male
8895,2018-08-14 13:00:00,PPC,35.0,34000.0,female
8607,2018-04-17 01:00:00,TV,,45000.0,female
4542,2018-10-01 12:00:00,TV,18.0,19000.0,female
7192,2019-02-01 09:00:00,TV,38.0,37000.0,male
6991,2018-10-12 14:00:00,TV,36.0,36000.0,male
3427,2019-01-03 10:00:00,TV,30.0,1150759.4129421073,male
1412,2018-10-01 22:00:00,TV,,37000.0,male
804,2018-02-06 23:00:00,Email,32.0,33000.0,male
2703,2018-06-16 16:00:00,TV,44.0,44000.0,male
4975,2018-10-21 06:00:00,Facebook,,33000.0,female
2862,2018-02-21 13:00:00,TV,26.0,27000.0,male
4881,2018-08-15 17:00:00,PPC,34.0,34000.0,male
7643,2018-07-09 17:00:00,Facebook,34.0,32000.0,female
7524,2019-02-15 06:00:00,PPC,42.0,42000.0,male
6189,2018-09-08 17:00:00,Facebook,44.0,43000.0,female
8878,2018-05-18 01:00:00,Facebook,39.0,39000.0,male
4371,2019-02-21 06:00:00,Email,,34000.0,male
2377,2018-06-20 19:00:00,TV,41.0,42000.0,male
5224,2019-01-28 18:00:00,PPC,44.0,44000.0,male
4122,2018-10-19 04:00:00,Email,29.0,30000.0,female
5060,2018-01-28 19:00:00,PPC,35.0,34000.0,male
9881,2018-12-06 04:00:00,Facebook,36.0,36000.0,male
8469,2018-11-25 03:00:00,Email,32.0,32000.0,female
5180,2018-07-16 05:00:00,TV,40.0,42000.0,male
9057,2018-03-26 17:00:00,Email,31.0,32000.0,male
5768,2018-12-18 03:00:00,Email,36.0,35000.0,male
2155,2019-01-04 22:00:00,PPC,30.0,29000.0,male
8584,2018-03-02 10:00:00,TV,33.0,33000.0,female
881,2018-01-25 00:00:00,Facebook,46.0,45000.0,male
6300,2018-03-04 09:00:00,TV,24.0,23000.0,female
5305,2018-03-26 11:00:00,TV,39.0,38000.0,male
3398,2018-01-13 02:00:00,TV,29.0,30000.0,male
9119,2018-08-23 19:00:00,Facebook,40.0,40000.0,male
8397,2018-03-17 20:00:00,TV,31.0,29000.0,female
3816,2018-01-10 18:00:00,Facebook,31.0,31000.0,male
5736,2018-09-01 23:00:00,TV,39.0,40000.0,female
9170,2018-08-12 11:00:00,Email,35.0,35000.0,female
7400,2018-06-19 08:00:00,Facebook,32.0,32000.0,female
4142,2018-06-25 14:00:00,Facebook,42.0,42000.0,male
1521,2018-07-30 16:00:00,Facebook,38.0,38000.0,female
6155,2018-04-20 13:00:00,Email,39.0,41000.0,female
4087,2018-06-25 06:00:00,TV,34.0,35000.0,female
8744,2018-05-17 14:00:00,TV,42.0,42000.0,male
7900,2018-07-18 05:00:00,PPC,31.0,31000.0,male
1205,2019-01-24 05:00:00,Facebook,35.0,35000.0,male
750,2018-09-04 17:00:00,TV,26.0,27000.0,male
2766,2018-07-08 12:00:00,Email,40.0,41000.0,male
2190,2018-03-15 01:00:00,PPC,30.0,29000.0,female
9130,2018-06-03 04:00:00,TV,32.0,31000.0,male
6470,2018-07-08 19:00:00,Facebook,37.0,35000.0,male
5243,2018-05-12 04:00:00,Facebook,35.0,36000.0,female
6883,2018-10-15 02:00:00,Email,,28000.0,male
9161,2018-05-09 16:00:00,PPC,42.0,44000.0,male
6819,2018-06-07 11:00:00,TV,21.0,20000.0,male
3989,2018-02-21 12:00:00,TV,,41000.0,male
1849,2018-05-23 16:00:00,TV,43.0,43000.0,female
6952,2018-07-23 18:00:00,TV,43.0,43000.0,female
313,2018-02-12 04:00:00,TV,32.0,33000.0,female
4000,2018-12-31 10:00:00,Email,,36000.0,male
2346,2018-04-12 09:00:00,TV,34.0,34000.0,male
883,2018-07-21 18:00:00,TV,35.0,35000.0,male
9848,2018-05-02 06:00:00,Email,34.0,35000.0,male
7157,2018-03-05 09:00:00,Facebook,31.0,31000.0,female
3948,2018-01-18 00:00:00,PPC,21.0,20000.0,male
8130,2018-12-15 06:00:00,Email,40.0,40000.0,male
3226,2018-01-12 02:00:00,PPC,45.0,43000.0,male
5328,2019-02-12 22:00:00,TV,42.0,43000.0,male
8732,2018-08-04 05:00:00,TV,31.0,32000.0,female
7970,2018-08-26 23:00:00,Facebook,42.0,43000.0,male
7626,2018-04-13 02:00:00,Facebook,36.0,36000.0,male
6193,2018-05-09 04:00:00,PPC,32.0,31000.0,male
6946,2018-08-16 12:00:00,PPC,27.0,28000.0,male
4753,2018-09-24 20:00:00,PPC,24.0,25000.0,female
7068,2018-07-03 02:00:00,Facebook,39.0,40000.0,male
8445,2018-08-01 19:00:00,PPC,27.0,28000.0,male
3997,2018-11-09 17:00:00,Facebook,39.0,40000.0,male
6389,2018-04-05 11:00:00,TV,34.0,32000.0,female
8017,2019-01-18 00:00:00,TV,26.0,25000.0,female
2765,2018-09-25 22:00:00,TV,38.0,36000.0,female
9109,2018-01-26 11:00:00,Email,26.0,26000.0,female
8203,2018-12-09 06:00:00,TV,,36000.0,female
2474,2018-03-17 21:00:00,TV,30.0,32000.0,male
9210,2018-08-13 06:00:00,Facebook,28.0,28000.0,female
2177,2018-03-19 08:00:00,TV,33.0,33000.0,male
4565,2018-11-25 11:00:00,TV,42.0,42000.0,female
8305,2018-10-17 17:00:00,Facebook,35.0,37000.0,female
8406,2018-06-10 20:00:00,PPC,,29000.0,female
8191,2018-08-31 08:00:00,TV,36.0,36000.0,male
6802,2018-02-09 22:00:00,Facebook,33.0,32000.0,male
5927,2018-08-24 16:00:00,PPC,,39000.0,female
2012,2018-03-29 05:00:00,PPC,36.0,37000.0,female
59,2018-12-02 01:00:00,Facebook,34.0,35000.0,female
8264,2018-01-06 11:00:00,TV,,35000.0,female
735,2019-01-06 15:00:00,TV,,31000.0,female
5146,2018-07-20 13:00:00,Email,30.0,30000.0,female
3976,2018-02-20 19:00:00,Facebook,49.0,48000.0,female
7632,2018-10-22 18:00:00,Facebook,24.0,24000.0,male
8373,2018-01-27 11:00:00,TV,31.0,31000.0,male
8813,2019-01-09 10:00:00,PPC,42.0,42000.0,female
3071,2018-12-10 07:00:00,Facebook,,34000.0,female
8569,2018-11-08 01:00:00,Facebook,26.0,25000.0,female
9166,2018-01-20 19:00:00,PPC,37.0,37000.0,female
7844,2018-10-04 12:00:00,Facebook,39.0,40000.0,female
493,2018-04-14 12:00:00,PPC,36.0,35000.0,male
2905,2019-02-06 23:00:00,TV,,34000.0,female
8291,2018-04-24 11:00:00,PPC,26.0,26000.0,male
3817,2018-05-04 07:00:00,Email,29.0,30000.0,female
520,2018-04-27 14:00:00,Facebook,39.0,38000.0,female
3319,2019-02-01 02:00:00,PPC,43.0,45000.0,male
845,2018-06-09 04:00:00,PPC,32.0,33000.0,male
4776,2019-01-18 16:00:00,TV,26.0,26000.0,female
8884,2019-01-05 02:00:00,TV,29.0,29000.0,female
5992,2018-04-11 12:00:00,TV,30.0,30000.0,male
5805,2018-10-25 11:00:00,Email,32.0,34000.0,female
83,2018-12-13 13:00:00,PPC,39.0,39000.0,male
5317,2018-04-17 04:00:00,TV,27.0,26000.0,male
3423,2018-06-17 19:00:00,PPC,44.0,45000.0,female
8566,2018-01-17 08:00:00,TV,42.0,42000.0,male
5316,2018-03-02 06:00:00,TV,24.0,26000.0,male
1890,2018-12-12 02:00:00,Facebook,34.0,34000.0,female
9429,2018-04-08 08:00:00,TV,,29000.0,male
9570,2018-06-24 16:00:00,TV,28.0,30000.0,male
